"id","x","y","z","seq_id"
"21","367230.2778","141824.5634","0","0"
"21","367432.3664","142272.6159","0","1"
"22","367452.6907","142300.5214","0","0"
"22","367697.177","142740.5477","0","1"
"22","368092.4887","143044.9148","0","2"
"22","368429.3977","143167.4272","0","3"
"22","368809.186","143155.1759","0","4"
"22","369048.0852","143069.4173","0","5"
"22","369213.4769","142946.9049","0","6"
"22","369274.1946","142731.4414","0","7"
"23","369281.26","142701.3931","0","0"
"23","369270.9054","142471.1918","0","1"
"23","369111.6393","142293.5489","0","2"
"23","368860.489","142201.6646","0","3"
"23","368731.851","142048.5242","0","4"
"23","368523.58","141975.0167","0","5"
"23","368413.3188","141870.8812","0","6"
"23","368045.365","141686.2489","0","7"
"24","368012.5186","141695.5832","0","0"
"24","367457.693","142271.2073","0","1"
"25","368013.103","141672.3976","0","0"
"25","367677.6498","141501.8215","0","1"
"26","368563.7789","141384.5186","0","0"
"26","368026.8415","141669.3509","0","1"
"27","368314.2028","140791.0985","0","0"
"27","368571.1189","141374.1036","0","1"
"28","368588.8576","141404.771","0","0"
"28","369007.5552","141662.1232","0","1"
"28","369522.1072","141925.5248","0","2"
"28","369672.7783","142015.461","0","3"
"30","369912.9978","142421.5824","0","0"
"30","369917.9744","142411.7466","0","1"
"30","370113.9085","142134.9069","0","2"
"31","369702.7922","142030.2501","0","0"
"31","370107.1588","142117.7169","0","1"
"32","370133.3965","142119.6307","0","0"
"32","370475.5413","141993.6337","0","1"
"33","369287.1214","142722.3079","0","0"
"33","369885.731","142708.6299","0","1"
"34","369223.7115","143971.0629","0","0"
"34","368266.0619","143968.6449","0","1"
"35","369901.0231","144004.3461","0","0"
"35","369247.157","143969.09","0","1"
"36","370933.7454","144078.06","0","0"
"36","371213.5835","144096.7673","0","1"
"36","371216.2822","144097.2872","0","2"
"37","371216.2822","144097.2872","0","0"
"37","371218.981","144097.807","0","1"
"37","371695.1971","144094.048","0","2"
"37","371860.4347","144119.6215","0","3"
"38","371863.5731","144132.5574","0","0"
"38","371702.1753","144448.5152","0","1"
"38","371667.1444","144594.4771","0","2"
"38","371737.2061","144740.439","0","3"
"39","371951.55","143516.1828","0","0"
"39","371928.7361","143952.2449","0","1"
"39","371883.3679","144101.8466","0","2"
"40","371947.503","143493.7063","0","0"
"40","371250.5277","143526.7091","0","1"
"41","372343.4073","143518.4462","0","0"
"41","371973.6579","143498.6597","0","1"
"42","371926.9338","141540.427","0","0"
"42","371954.2213","143483.802","0","1"
"43","371374.8769","141700.0259","0","0"
"43","371918.5688","141534.7713","0","1"
"44","370512.1387","141984.3715","0","0"
"44","371342.8634","141706.9763","0","1"
"45","370484.4116","142000.244","0","0"
"45","370483.976","142737.342","0","1"
"46","369483.5191","141137.0291","0","0"
"46","369625.6917","141380.9542","0","1"
"46","369852.6566","141503.638","0","2"
"46","370476.4586","141972.9746","0","3"
"47","369462.7408","141117.187","0","0"
