77,6_2,2,0.00,2,05:31:59,00:00:00
45,3_2,0,0.00,9,05:32:00,00:00:00
66,7_1,1,0.00,2,05:32:06,00:00:00
66,6_1,1,0.00,2,05:32:07,00:00:00
66,5_2,1,0.00,2,05:32:07,00:00:00
47,4_2,0,0.00,9,05:32:15,00:00:00
10,4_1,0,0.00,9,05:32:21,00:00:00
13,3_1,0,0.00,10,05:32:24,00:00:00
71,6_1,0,0.00,6,05:32:28,00:00:00
14,3_2,1,0.00,3,05:32:33,00:00:00
16,4_2,1,0.00,3,05:32:49,00:00:00
53009,2_1,1,0.00,1,05:32:53,00:00:00
23,1_1,0,0.00,8,05:32:58,00:00:00
44,3_1,1,0.00,4,05:32:56,00:00:00
4,1_1,1,0.00,3,05:33:07,00:00:00
58,5_1,1,0.00,2,05:33:05,00:00:00
36,4_1,1,0.00,4,05:33:05,00:00:00
21,2_1,0,0.00,8,05:33:10,00:00:00
40,6_1,0,0.00,7,05:33:17,00:00:00
55,3_2,0,0.00,10,05:33:30,00:00:00
48009,4_2,0,0.00,10,05:33:30,00:00:00
13,1_2,1,0.00,4,05:33:32,00:00:00
52,2_1,1,0.00,2,05:33:38,00:00:00
8009,4_1,0,0.00,10,05:33:42,00:00:00
6,1_1,1,0.00,4,05:33:58,00:00:00
3,1_2,0,0.00,9,05:34:04,00:00:00
17,2_1,0,0.00,9,05:34:00,00:00:00
24,1_1,0,0.00,9,05:34:01,00:00:00
65,7_1,1,0.00,3,05:34:07,00:00:00
65,6_1,1,0.00,3,05:34:07,00:00:00
65,5_2,1,0.00,3,05:34:07,00:00:00
19,4_2,1,0.00,4,05:34:09,00:00:00
43,3_1,1,0.00,5,05:34:06,00:00:00
74,6_2,1,0.00,6,05:34:11,00:00:00
23,3_2,1,0.00,4,05:34:21,00:00:00
56,3_2,0,0.00,11,05:34:23,00:00:00
54,6_2,2,0.00,3,05:34:21,00:00:00
28,3_1,0,0.00,11,05:34:25,00:00:00
70,6_2,0,0.00,9,05:34:33,00:00:00
47,2_1,1,0.00,3,05:34:36,00:00:00
32,4_1,1,0.00,5,05:34:48,00:00:00
73,6_1,0,0.00,8,05:34:49,00:00:00
1009,1_2,0,0.00,10,05:34:52,00:00:00
19,2_1,0,0.00,10,05:34:51,00:00:00
12,1_2,1,0.00,5,05:35:08,00:00:00
26009,1_1,0,0.00,10,05:35:21,00:00:00
52,6_2,2,0.00,4,05:35:22,00:00:00
26009,3_1,0,0.00,12,05:35:35,00:00:00
8009,6_2,3,0.00,1,05:35:38,00:00:00
20,2_1,0,0.00,11,05:35:35,00:00:00
34,4_2,1,0.00,5,05:35:41,00:00:00
30,3_2,1,0.00,5,05:35:42,00:00:00
41,6_2,1,0.00,7,05:35:51,00:00:00
54,3_2,0,0.00,12,05:35:53,00:00:00
44,2_1,1,0.00,4,05:35:56,00:00:00
27,5_1,1,0.00,3,05:35:58,00:00:00
35,4_1,1,0.00,6,05:36:15,00:00:00
40,3_1,1,0.00,6,05:36:17,00:00:00
39,3_2,1,0.00,6,05:36:16,00:00:00
63,6_2,0,0.00,10,05:36:21,00:00:00
9,1_1,1,0.00,5,05:36:24,00:00:00
47,6_2,2,0.00,5,05:36:20,00:00:00
22,7_1,0,0.00,5,05:36:39,00:00:00
67,7_1,1,0.00,4,05:36:45,00:00:00
67,6_1,1,0.00,4,05:36:46,00:00:00
67,5_2,1,0.00,4,05:36:46,00:00:00
72,6_2,1,0.00,8,05:36:51,00:00:00
77,6_2,3,0.00,2,05:36:59,00:00:00
33,4_2,1,0.00,6,05:37:05,00:00:00
54,2_1,0,0.00,12,05:37:06,00:00:00
53009,3_2,0,0.00,13,05:37:16,00:00:00
10,1_2,1,0.00,6,05:37:19,00:00:00
12,5_1,1,0.00,4,05:37:36,00:00:00
38,3_1,1,0.00,7,05:37:41,00:00:00
40,2_1,1,0.00,5,05:37:43,00:00:00
41,3_2,1,0.00,7,05:37:40,00:00:00
18,4_1,1,0.00,7,05:37:47,00:00:00
46,6_1,0,0.00,9,05:37:48,00:00:00
1009,1_1,2,0.00,1,05:38:12,00:00:00
26009,3_2,2,0.00,1,05:38:24,00:00:00
53009,2_1,0,0.00,13,05:38:29,00:00:00
26009,1_2,2,0.00,1,05:38:25,00:00:00
11,1_1,1,0.00,6,05:38:33,00:00:00
69,6_1,1,0.00,5,05:38:39,00:00:00
8009,4_2,2,0.00,1,05:38:38,00:00:00
17,7_1,0,0.00,6,05:38:39,00:00:00
29,3_1,1,0.00,8,05:38:43,00:00:00
61,5_1,1,0.00,5,05:38:49,00:00:00
37,4_2,1,0.00,7,05:38:47,00:00:00
51,6_1,0,0.00,10,05:38:47,00:00:00
53009,3_1,2,0.00,1,05:38:53,00:00:00
64,6_2,0,0.00,11,05:38:58,00:00:00
15,4_1,1,0.00,8,05:39:07,00:00:00
38,2_1,1,0.00,6,05:39:06,00:00:00
75,6_1,0,0.00,11,05:39:10,00:00:00
48009,4_1,2,0.00,1,05:39:14,00:00:00
74,6_2,2,0.00,6,05:39:11,00:00:00
54,6_2,3,0.00,3,05:39:21,00:00:00
67009,6_1,2,0.00,1,05:39:29,00:00:00
67009,7_1,2,0.00,1,05:39:29,00:00:00
67009,5_2,2,0.00,1,05:39:29,00:00:00
70,6_2,1,0.00,9,05:39:32,00:00:00
19,7_1,0,1.00,7,05:39:30,00:00:02
27,3_2,2,0.00,2,05:39:31,00:00:00
9,4_2,2,0.00,2,05:39:36,00:00:00
57009,5_1,2,0.00,1,05:39:39,00:00:00
52,3_1,2,0.00,2,05:39:38,00:00:00
46,4_1,2,0.00,2,05:39:35,00:00:00
SC1_1,SC_1,288,0.00,0,05:38:35,00:01:00
NS1_1,NS_1,37,0.00,0,05:38:35,00:01:00
22,3_1,1,0.00,9,05:39:35,00:00:00
2,1_1,2,0.00,2,05:39:40,00:00:00
25,1_2,2,0.00,2,05:39:41,00:00:00
7,1_2,1,0.00,7,05:39:47,00:00:00
42,3_2,1,0.00,8,05:39:51,00:00:00
50,4_2,1,0.00,8,05:40:00,00:00:00
14,1_1,1,0.00,7,05:40:09,00:00:00
31,2_1,1,0.00,7,05:40:10,00:00:00
20,7_1,0,4.00,8,05:40:16,00:00:06
52,6_2,3,0.00,4,05:40:22,00:00:00
5,1_2,1,0.00,8,05:40:37,00:00:00
8009,6_2,4,0.00,1,05:40:38,00:00:00
47,3_1,2,0.00,3,05:40:36,00:00:00
22,1_2,2,0.00,3,05:40:44,00:00:00
68,6_2,0,0.00,12,05:40:54,00:00:00
49,4_1,2,0.00,3,05:40:51,00:00:00
41,6_2,2,0.00,7,05:40:51,00:00:00
45,3_2,1,0.00,9,05:41:00,00:00:00
66,7_1,2,0.00,2,05:41:06,00:00:00
66,5_2,2,0.00,2,05:41:07,00:00:00
66,6_1,2,0.00,2,05:41:07,00:00:00
47,4_2,1,0.00,9,05:41:15,00:00:00
63,6_2,1,0.00,10,05:41:21,00:00:00
10,4_1,1,0.00,9,05:41:21,00:00:00
