id,turning_path1,turning_path2,cd1,cd2,priority,gap_time,tags
1370,425,344,30.39184794,31.19162763,0,2.5,
1374,423,346,9.776064712,14.37160394,0,2.5,
1376,424,346,6.321458683,25.21520994,0,2.5,
1378,425,346,6.561524607,22.03420379,0,2.5,
1380,426,346,11.42886142,34.35043038,0,2.5,
1382,423,347,14.5455426,10.76150056,0,2.5,
1384,424,347,9.517364295,25.3455691,0,2.5,
1386,425,347,9.758532441,22.16217915,0,2.5,
1552,420,419,5.353577067,8.538033718,0,2.5,
1568,432,427,19.09271166,27.51201675,0,2.5,
1570,432,428,14.19152335,31.21332684,0,2.5,
1708,550,549,38.40270309,38.9453526,0,2.5,
1720,559,558,11.42259724,14.91103749,0,2.5,
1752,576,569,16.1353555,11.20613882,0,2.5,
1754,577,569,7.580091879,19.01965896,0,2.5,
1756,578,569,9.155585441,11.38075228,0,2.5,
1758,576,570,12.75069737,12.08220566,0,2.5,
1760,578,570,13.16641648,8.701671015,0,2.5,
1762,576,571,25.08411812,11.78720824,0,2.5,
1770,578,575,28.04594877,16.63535916,0,2.5,
1772,578,576,9.352624975,15.96916501,0,2.5,
1778,591,580,33.09445508,12.18139583,0,2.5,
1780,591,581,28.43636699,15.87839687,0,2.5,
1784,588,586,33.5426362,21.9579275,0,2.5,
1786,588,587,29.66688698,23.63542975,0,2.5,
1794,620,612,20.61318736,53.55707279,0,2.5,
1796,624,612,37.92703048,54.50336087,0,2.5,
1798,625,612,40.32381419,50.18099968,0,2.5,
1800,620,614,75.80048906,67.37738335,0,2.5,
1802,645,615,33.76471218,15.87063272,0,2.5,
1804,618,617,14.02948133,17.18689279,0,2.5,
1806,624,619,75.54827747,24.86749861,0,2.5,
1808,624,620,39.13695488,19.60770297,0,2.5,
1810,625,620,36.00635461,24.20134513,0,2.5,
1814,629,622,38.45433299,18.9628773,0,2.5,
1816,629,623,15.55018957,23.84575435,0,2.5,
1820,628,627,9.793189906,12.95467425,0,2.5,
1840,691,690,10.92132805,7.731363556,0,2.5,
1842,708,707,11.87313324,8.666168062,0,2.5,
1844,709,707,15.32436954,8.736309633,0,2.5,
1846,710,707,18.85472643,8.806766563,0,2.5,
1848,711,707,22.4264876,8.877102033,0,2.5,
1850,709,708,15.44944572,12.06693017,0,2.5,
1852,710,708,19.00895664,12.16447857,0,2.5,
1854,711,708,22.60990366,12.26158042,0,2.5,
1856,710,709,19.16376988,15.70116232,0,2.5,
1858,711,709,22.79381913,15.82637417,0,2.5,
1860,711,710,22.97709632,19.47192273,0,2.5,
1862,713,712,24.43067113,17.38039577,0,2.5,
1864,715,712,21.07721275,17.56498537,0,2.5,
1866,715,713,20.63887222,24.17665235,0,2.5,
